number1,number2,length1,length2
5,45,1,2
1,13,1,2
10,71,1,2
8,95,1,2
5,52,1,2
8,51,1,2
8,72,1,2
2,82,1,2
3,95,1,2
2,62,1,2
7,46,1,2
8,31,1,2
4,96,1,2
1,62,1,2
8,67,1,2
3,69,1,2
3,38,1,2
8,74,1,2
6,87,1,2
5,19,1,2
2,34,1,2
7,15,1,2
7,92,1,2
7,17,1,2
3,31,1,2
8,36,1,2
2,67,1,2
3,51,1,2
10,47,1,2
3,79,1,2
5,38,1,2
3,64,1,2
2,47,1,2
8,53,1,2
1,46,1,2
6,88,1,2
2,78,1,2
5,71,1,2
3,92,1,2
1,17,1,2
10,50,1,2
2,98,1,2
4,97,1,2
8,64,1,2
8,10,1,2
1,76,1,2
6,42,1,2
7,93,1,2
6,53,1,2
5,26,1,2
10,39,1,2
7,81,1,2
7,15,1,2
2,23,1,2
7,50,1,2
6,34,1,2
9,43,1,2
7,21,1,2
2,22,1,2
6,26,1,2
10,11,1,2
1,100,1,2
9,15,1,2
8,79,1,2
7,85,1,2
5,25,1,2
9,72,1,2
5,26,1,2
4,90,1,2
9,38,1,2
10,76,1,2
2,40,1,2
6,16,1,2
7,84,1,2
4,23,1,2
5,353,1,3
4,577,1,3
9,670,1,3
2,467,1,3
8,605,1,3
3,372,1,3
6,909,1,3
3,794,1,3
6,155,1,3
3,586,1,3
8,186,1,3
4,951,1,3
8,154,1,3
5,878,1,3
8,195,1,3
5,613,1,3
5,295,1,3
6,819,1,3
7,535,1,3
6,537,1,3
3,529,1,3
8,351,1,3
6,447,1,3
1,199,1,3
10,708,1,3
9,654,1,3
4,240,1,3
8,588,1,3
1,957,1,3
5,418,1,3
4,253,1,3
2,461,1,3
7,543,1,3
7,670,1,3
2,624,1,3
1,958,1,3
5,461,1,3
4,718,1,3
5,699,1,3
3,972,1,3
8,931,1,3
4,648,1,3
3,168,1,3
4,264,1,3
9,207,1,3
1,785,1,3
4,322,1,3
6,134,1,3
8,182,1,3
2,534,1,3
4,428,1,3
4,499,1,3
3,978,1,3
7,739,1,3
4,233,1,3
5,631,1,3
3,987,1,3
2,260,1,3
2,703,1,3
7,457,1,3
6,636,1,3
10,305,1,3
9,693,1,3
1,184,1,3
9,984,1,3
1,958,1,3
7,925,1,3
4,543,1,3
7,370,1,3
9,318,1,3
2,974,1,3
8,692,1,3
7,491,1,3
4,778,1,3
3,713,1,3
4,317,1,3
7,600,1,3
5,360,1,3
4,781,1,3
1,849,1,3
5,960,1,3
1,829,1,3
9,283,1,3
2,575,1,3
8,511,1,3
8,613,1,3
5,416,1,3
3,924,1,3
8,739,1,3
10,244,1,3
2,803,1,3
7,665,1,3
5,154,1,3
6,747,1,3
9,348,1,3
2,264,1,3
10,323,1,3
9,465,1,3
4,433,1,3
6,714,1,3
10,2721,1,4
6,1737,1,4
10,3242,1,4
5,3741,1,4
6,6707,1,4
1,2028,1,4
6,8525,1,4
2,7473,1,4
3,3522,1,4
1,1739,1,4
3,2407,1,4
9,6842,1,4
9,8063,1,4
5,3577,1,4
6,1831,1,4
9,3600,1,4
10,2503,1,4
8,9892,1,4
6,7622,1,4
4,5559,1,4
6,5730,1,4
9,7856,1,4
3,7788,1,4
2,8611,1,4
8,9200,1,4
8,9566,1,4
3,2186,1,4
1,1195,1,4
1,9574,1,4
9,6063,1,4
6,2367,1,4
5,7101,1,4
8,2558,1,4
4,4015,1,4
7,3269,1,4
8,2438,1,4
3,9659,1,4
3,2313,1,4
8,7798,1,4
8,3802,1,4
2,8757,1,4
8,9083,1,4
6,4031,1,4
1,4805,1,4
6,7794,1,4
7,2343,1,4
8,4341,1,4
8,5085,1,4
9,4083,1,4
10,2970,1,4
8,3631,1,4
2,7140,1,4
10,5835,1,4
4,3278,1,4
6,5515,1,4
10,3533,1,4
10,8949,1,4
10,1388,1,4
10,2857,1,4
3,7867,1,4
1,9258,1,4
4,4563,1,4
4,1607,1,4
4,5721,1,4
2,2862,1,4
7,1064,1,4
2,7352,1,4
6,8911,1,4
2,1967,1,4
1,9487,1,4
7,9318,1,4
6,9039,1,4
7,1307,1,4
10,8784,1,4
7,2900,1,4
7,9223,1,4
10,8919,1,4
9,6199,1,4
6,3559,1,4
5,3390,1,4
6,1232,1,4
7,5613,1,4
10,9383,1,4
9,2175,1,4
7,8011,1,4
1,9352,1,4
7,2778,1,4
8,5969,1,4
1,7266,1,4
4,7893,1,4
5,9165,1,4
6,3352,1,4
8,1073,1,4
7,3957,1,4
9,7941,1,4
7,7644,1,4
4,4949,1,4
8,6063,1,4
5,3154,1,4
6,5010,1,4
1,78254,1,5
10,44986,1,5
10,72997,1,5
2,95130,1,5
4,48657,1,5
7,31297,1,5
4,78818,1,5
6,88864,1,5
3,65040,1,5
2,82373,1,5
6,21390,1,5
2,90588,1,5
7,85598,1,5
9,20196,1,5
6,67501,1,5
6,42282,1,5
1,42414,1,5
3,71418,1,5
9,58235,1,5
5,90587,1,5
2,62887,1,5
5,30582,1,5
6,71376,1,5
2,48823,1,5
8,14080,1,5
4,68294,1,5
8,59733,1,5
6,89468,1,5
3,95649,1,5
8,41514,1,5
4,55650,1,5
9,26012,1,5
6,54439,1,5
4,19154,1,5
7,98102,1,5
2,42286,1,5
8,96399,1,5
5,92701,1,5
10,78924,1,5
10,79231,1,5
8,26192,1,5
2,28537,1,5
3,31177,1,5
8,39805,1,5
7,63601,1,5
4,75758,1,5
1,34781,1,5
2,47206,1,5
6,58687,1,5
7,56062,1,5
6,34110,1,5
10,79283,1,5
4,45428,1,5
5,94774,1,5
5,47484,1,5
9,99754,1,5
9,43402,1,5
9,85358,1,5
4,21542,1,5
3,98152,1,5
4,93997,1,5
8,76298,1,5
8,93305,1,5
3,43770,1,5
5,20958,1,5
8,53452,1,5
6,66579,1,5
6,80824,1,5
9,19194,1,5
8,90287,1,5
8,53346,1,5
3,46041,1,5
6,80327,1,5
10,59618,1,5
8,61356,1,5
7,15917,1,5
2,78487,1,5
4,58303,1,5
1,23144,1,5
10,99937,1,5
4,43777,1,5
4,19786,1,5
5,89582,1,5
5,58668,1,5
1,92043,1,5
8,75846,1,5
3,46741,1,5
5,21361,1,5
6,93522,1,5
6,46000,1,5
4,64408,1,5
4,50580,1,5
8,70890,1,5
2,43353,1,5
8,63066,1,5
8,44977,1,5
10,41212,1,5
3,62567,1,5
4,48228,1,5
4,58193,1,5
2,683595,1,6
4,875972,1,6
1,480792,1,6
3,229032,1,6
5,587138,1,6
8,340736,1,6
8,876293,1,6
2,396133,1,6
1,406825,1,6
4,206013,1,6
2,266663,1,6
3,969943,1,6
6,427555,1,6
8,290790,1,6
2,386483,1,6
1,612101,1,6
3,787350,1,6
6,702201,1,6
5,122907,1,6
5,485987,1,6
7,649335,1,6
9,409895,1,6
8,267647,1,6
4,419130,1,6
4,804115,1,6
6,508320,1,6
6,629331,1,6
7,752056,1,6
8,736253,1,6
3,332131,1,6
7,896641,1,6
7,448694,1,6
6,651578,1,6
1,920213,1,6
9,970785,1,6
5,670916,1,6
5,555498,1,6
4,327315,1,6
9,155251,1,6
8,364051,1,6
8,316123,1,6
2,271163,1,6
10,154640,1,6
3,780057,1,6
2,289328,1,6
1,827313,1,6
10,929720,1,6
1,792377,1,6
1,723366,1,6
1,599121,1,6
3,517382,1,6
9,907331,1,6
2,683993,1,6
3,787846,1,6
10,950473,1,6
2,625815,1,6
9,277398,1,6
7,474276,1,6
6,239804,1,6
10,644458,1,6
3,848093,1,6
10,604734,1,6
2,444898,1,6
1,427800,1,6
8,295530,1,6
5,470160,1,6
3,489326,1,6
7,513670,1,6
10,504607,1,6
7,922997,1,6
4,221683,1,6
7,247050,1,6
3,770919,1,6
8,243658,1,6
1,990060,1,6
4,756119,1,6
1,338859,1,6
8,944398,1,6
5,872964,1,6
6,277469,1,6
3,938053,1,6
4,658680,1,6
1,679613,1,6
3,467039,1,6
5,640653,1,6
4,933829,1,6
8,892888,1,6
2,425238,1,6
6,507745,1,6
8,542545,1,6
4,561208,1,6
2,976893,1,6
4,134264,1,6
1,125791,1,6
6,262963,1,6
8,426503,1,6
1,526086,1,6
8,837511,1,6
10,512426,1,6
3,122939,1,6
4,1436984,1,7
5,6629156,1,7
1,4464467,1,7
4,1076361,1,7
7,5257665,1,7
8,1449103,1,7
10,4495811,1,7
9,3301326,1,7
9,4727574,1,7
9,8701311,1,7
8,9027979,1,7
9,9577837,1,7
8,1403646,1,7
4,9677736,1,7
6,2800756,1,7
2,8550711,1,7
8,2624902,1,7
3,4475936,1,7
9,1753605,1,7
5,8092119,1,7
8,2796845,1,7
1,4860954,1,7
2,2786547,1,7
8,9071645,1,7
9,6728227,1,7
8,3522736,1,7
10,1113261,1,7
9,9160852,1,7
5,6992825,1,7
6,1732641,1,7
6,1715150,1,7
7,6991380,1,7
2,5710849,1,7
4,6523864,1,7
7,8478091,1,7
7,8764647,1,7
10,5665128,1,7
5,9138701,1,7
5,8971280,1,7
3,2685142,1,7
1,2923892,1,7
1,7265524,1,7
6,3397928,1,7
2,7830919,1,7
4,8262260,1,7
2,8728271,1,7
3,7856304,1,7
2,4176917,1,7
8,1307361,1,7
7,3290873,1,7
8,5893728,1,7
5,7985710,1,7
7,1095561,1,7
5,6787814,1,7
3,6977693,1,7
4,4024803,1,7
5,6042187,1,7
6,5152150,1,7
3,8284605,1,7
3,4584038,1,7
8,6689420,1,7
1,6510844,1,7
6,3142643,1,7
4,8670145,1,7
3,7318824,1,7
8,5881570,1,7
4,1051009,1,7
8,8872740,1,7
10,7901405,1,7
3,2466514,1,7
10,6160406,1,7
10,1971091,1,7
7,3157033,1,7
10,5894633,1,7
10,5298223,1,7
2,3362399,1,7
1,2913655,1,7
3,5659471,1,7
1,2482351,1,7
9,8530307,1,7
8,9030740,1,7
9,4083000,1,7
9,4911570,1,7
8,3379872,1,7
9,8826359,1,7
9,6333687,1,7
1,7845228,1,7
4,5362762,1,7
3,6137847,1,7
5,7442589,1,7
1,8591897,1,7
6,4375243,1,7
4,6985975,1,7
10,6895567,1,7
2,6982157,1,7
6,1308261,1,7
4,2649521,1,7
6,4672996,1,7
8,6587708,1,7
3,7166128,1,7
3,78706926,1,8
5,88066646,1,8
5,64279769,1,8
2,58716580,1,8
7,42524871,1,8
6,42933081,1,8
3,34831198,1,8
7,39392460,1,8
2,98714619,1,8
5,33185482,1,8
10,71169307,1,8
1,67351056,1,8
6,38859294,1,8
7,57919574,1,8
2,24201801,1,8
1,84503201,1,8
4,69251200,1,8
6,81886875,1,8
4,79391868,1,8
1,14043607,1,8
9,13960005,1,8
4,24698710,1,8
10,41595907,1,8
3,32398310,1,8
1,21394324,1,8
3,13377687,1,8
1,91637785,1,8
1,22754346,1,8
4,49316275,1,8
9,99792075,1,8
2,13031280,1,8
7,46041000,1,8
5,29583945,1,8
6,49517963,1,8
5,83617945,1,8
10,84704943,1,8
1,36660320,1,8
1,11367598,1,8
6,89860088,1,8
10,83576817,1,8
6,69815332,1,8
2,69738293,1,8
2,57632253,1,8
1,73464879,1,8
7,24230692,1,8
7,95728641,1,8
9,33467571,1,8
1,77945385,1,8
7,65274936,1,8
1,88791894,1,8
6,67613244,1,8
9,37942723,1,8
3,80098784,1,8
7,25115667,1,8
6,37259442,1,8
3,38712760,1,8
9,94791516,1,8
6,17845127,1,8
9,15353594,1,8
3,11614155,1,8
5,17828451,1,8
3,90378618,1,8
3,94092930,1,8
7,39809469,1,8
5,19878866,1,8
1,21810899,1,8
6,62973734,1,8
9,79319362,1,8
6,40012100,1,8
7,20146209,1,8
6,92760584,1,8
7,22099692,1,8
4,46028355,1,8
2,66523885,1,8
5,74431020,1,8
3,67502087,1,8
10,20172728,1,8
9,32721886,1,8
2,62735929,1,8
3,77544532,1,8
2,79372425,1,8
5,48625309,1,8
3,84485420,1,8
6,81599167,1,8
4,23360210,1,8
8,99199358,1,8
10,66732993,1,8
5,12281890,1,8
2,71079173,1,8
7,90378983,1,8
5,71027034,1,8
3,56728006,1,8
9,85240101,1,8
5,23087825,1,8
6,20898429,1,8
8,90213867,1,8
1,49547094,1,8
3,86840090,1,8
4,26425094,1,8
1,87170858,1,8
4,323135380,1,9
1,425516302,1,9
9,973341023,1,9
2,166062623,1,9
9,122788050,1,9
4,610272262,1,9
10,512402848,1,9
2,433059356,1,9
5,587778427,1,9
9,201997156,1,9
6,810642945,1,9
2,310659771,1,9
8,611968947,1,9
7,262569792,1,9
5,976855687,1,9
5,151347115,1,9
5,315500341,1,9
1,383504416,1,9
2,766485634,1,9
8,689286596,1,9
1,588270874,1,9
10,351771361,1,9
8,434626878,1,9
3,690735171,1,9
3,884552848,1,9
10,952711114,1,9
8,402128871,1,9
4,611583441,1,9
1,944616097,1,9
6,151928785,1,9
6,148160191,1,9
8,379134489,1,9
4,451458926,1,9
1,141305932,1,9
7,899946250,1,9
4,560819159,1,9
1,704154268,1,9
2,604685947,1,9
4,791771649,1,9
9,329569869,1,9
6,270964163,1,9
9,164350951,1,9
1,928737620,1,9
6,726808038,1,9
9,733355740,1,9
5,282621305,1,9
4,422597533,1,9
5,645741612,1,9
10,517418728,1,9
9,989166331,1,9
8,925831929,1,9
10,688760810,1,9
9,949262991,1,9
4,748935197,1,9
6,527341958,1,9
8,236649112,1,9
10,499704000,1,9
9,829456933,1,9
3,994352333,1,9
3,666377636,1,9
4,325676571,1,9
1,948196318,1,9
1,954522612,1,9
1,733559396,1,9
5,976579168,1,9
4,372762454,1,9
9,512903326,1,9
9,223936076,1,9
8,970009822,1,9
2,316529961,1,9
1,973025845,1,9
2,600174382,1,9
10,704860164,1,9
8,762956510,1,9
5,185827947,1,9
6,978368999,1,9
2,211824719,1,9
8,892893626,1,9
3,145751408,1,9
1,561249671,1,9
2,758704638,1,9
8,391094976,1,9
7,564614064,1,9
8,325439299,1,9
10,881905118,1,9
7,783115292,1,9
2,469761556,1,9
10,186559484,1,9
1,564875091,1,9
9,391297142,1,9
8,842698993,1,9
8,506123008,1,9
7,524543805,1,9
6,201832617,1,9
1,234478396,1,9
10,579665784,1,9
9,867192680,1,9
5,639751778,1,9
3,264764546,1,9
7,273155095,1,9
3,3443809844,1,10
3,1671122756,1,10
1,2726573656,1,10
6,9472787201,1,10
3,2949084883,1,10
10,7010465668,1,10
6,3608358540,1,10
3,2884062801,1,10
5,7935643623,1,10
10,2013158868,1,10
6,5416822978,1,10
5,7845597075,1,10
5,8277658694,1,10
8,6961186615,1,10
4,3891117891,1,10
2,1172750551,1,10
2,6720126700,1,10
2,8386877520,1,10
2,7259328835,1,10
9,2380612294,1,10
1,2448825018,1,10
10,6000958410,1,10
4,4643452299,1,10
9,2485968636,1,10
6,8557448835,1,10
9,8208500850,1,10
6,8454259969,1,10
3,8092204047,1,10
8,9722582797,1,10
8,9787065395,1,10
4,7232433949,1,10
1,8154810203,1,10
6,1389211008,1,10
1,9952941257,1,10
2,1042365405,1,10
6,2627461350,1,10
6,3647417490,1,10
7,7689647521,1,10
9,1563061779,1,10
7,1939659897,1,10
7,9699958184,1,10
7,1961041915,1,10
7,8282403154,1,10
3,3498902435,1,10
7,2550352725,1,10
6,9075687276,1,10
6,4442664502,1,10
1,6381597817,1,10
5,7611436491,1,10
10,2501883200,1,10
7,3447963032,1,10
8,8920803718,1,10
10,2274154504,1,10
9,8343819474,1,10
1,3792771881,1,10
9,3369504133,1,10
7,6359822680,1,10
9,2623033675,1,10
2,6495948658,1,10
2,9448369446,1,10
5,2327333118,1,10
1,7773361768,1,10
2,4187205435,1,10
1,6016735691,1,10
2,2398281193,1,10
2,6677188604,1,10
1,3873551382,1,10
6,3118224576,1,10
2,1146165798,1,10
3,4064785150,1,10
4,7403678162,1,10
6,1590287251,1,10
1,3966986009,1,10
5,9206623430,1,10
1,1190777593,1,10
6,3654736325,1,10
4,6585324326,1,10
8,3468881416,1,10
10,2538537016,1,10
8,2602300861,1,10
7,5404969190,1,10
8,3919161444,1,10
4,1572717683,1,10
3,8678015625,1,10
9,3155384695,1,10
8,6020301914,1,10
2,9271592620,1,10
3,2184407045,1,10
4,3823670846,1,10
5,5097906090,1,10
4,9393469781,1,10
9,8410396731,1,10
3,1035394967,1,10
10,2484682740,1,10
2,8807827492,1,10
8,3981431675,1,10
10,2776651182,1,10
1,8700605568,1,10
8,8844989119,1,10
4,1699599700,1,10
77,2,2,1
51,3,2,1
46,7,2,1
68,3,2,1
97,5,2,1
60,1,2,1
79,4,2,1
53,5,2,1
87,9,2,1
42,3,2,1
37,2,2,1
54,10,2,1
37,10,2,1
41,3,2,1
91,1,2,1
58,7,2,1
88,5,2,1
78,8,2,1
59,1,2,1
89,5,2,1
71,4,2,1
99,10,2,1
10,9,2,1
49,3,2,1
45,8,2,1
43,3,2,1
95,6,2,1
92,10,2,1
48,1,2,1
24,1,2,1
49,8,2,1
56,8,2,1
82,5,2,1
69,1,2,1
99,1,2,1
61,7,2,1
23,9,2,1
28,4,2,1
92,7,2,1
48,3,2,1
55,2,2,1
96,4,2,1
100,4,2,1
19,1,2,1
19,3,2,1
24,2,2,1
25,7,2,1
39,9,2,1
26,1,2,1
82,7,2,1
100,6,2,1
27,2,2,1
79,1,2,1
71,4,2,1
43,3,2,1
32,3,2,1
53,8,2,1
73,9,2,1
100,7,2,1
23,6,2,1
77,10,2,1
19,8,2,1
75,1,2,1
29,3,2,1
19,10,2,1
49,4,2,1
48,6,2,1
25,5,2,1
60,1,2,1
89,8,2,1
80,10,2,1
78,8,2,1
80,3,2,1
99,2,2,1
71,8,2,1
56,5,2,1
44,8,2,1
56,9,2,1
84,3,2,1
55,1,2,1
26,6,2,1
40,8,2,1
21,3,2,1
24,1,2,1
30,1,2,1
12,2,2,1
47,2,2,1
17,8,2,1
44,5,2,1
88,4,2,1
34,3,2,1
83,7,2,1
16,5,2,1
99,7,2,1
64,3,2,1
38,10,2,1
29,8,2,1
45,5,2,1
15,7,2,1
28,10,2,1
24,58,2,2
53,58,2,2
65,85,2,2
73,69,2,2
47,49,2,2
34,59,2,2
97,82,2,2
31,35,2,2
64,39,2,2
97,48,2,2
67,93,2,2
38,52,2,2
87,81,2,2
61,86,2,2
20,97,2,2
30,19,2,2
44,67,2,2
38,77,2,2
99,19,2,2
53,29,2,2
77,51,2,2
43,89,2,2
85,14,2,2
82,14,2,2
99,25,2,2
31,96,2,2
59,61,2,2
91,97,2,2
89,12,2,2
95,58,2,2
50,50,2,2
91,26,2,2
87,24,2,2
77,100,2,2
18,15,2,2
37,47,2,2
86,71,2,2
80,53,2,2
30,83,2,2
90,10,2,2
69,49,2,2
56,64,2,2
47,70,2,2
100,92,2,2
55,32,2,2
99,14,2,2
12,28,2,2
31,16,2,2
24,94,2,2
25,64,2,2
59,43,2,2
77,20,2,2
50,32,2,2
66,50,2,2
67,79,2,2
48,15,2,2
50,16,2,2
38,58,2,2
91,78,2,2
90,39,2,2
78,26,2,2
73,74,2,2
29,38,2,2
14,78,2,2
40,12,2,2
49,51,2,2
27,28,2,2
75,21,2,2
84,21,2,2
89,79,2,2
17,76,2,2
94,20,2,2
46,60,2,2
36,46,2,2
79,18,2,2
39,63,2,2
37,54,2,2
14,77,2,2
20,59,2,2
22,19,2,2
86,63,2,2
94,42,2,2
79,25,2,2
18,32,2,2
86,93,2,2
64,26,2,2
49,63,2,2
40,26,2,2
61,28,2,2
64,99,2,2
98,16,2,2
63,36,2,2
99,10,2,2
39,43,2,2
99,67,2,2
57,92,2,2
37,62,2,2
44,99,2,2
15,50,2,2
69,75,2,2
79,331,2,3
81,572,2,3
41,994,2,3
67,240,2,3
100,989,2,3
79,781,2,3
31,902,2,3
30,431,2,3
94,633,2,3
79,436,2,3
21,592,2,3
94,631,2,3
12,973,2,3
66,365,2,3
56,815,2,3
45,645,2,3
75,354,2,3
38,672,2,3
44,614,2,3
45,367,2,3
68,156,2,3
87,621,2,3
62,428,2,3
90,367,2,3
43,540,2,3
96,902,2,3
52,811,2,3
38,545,2,3
99,283,2,3
18,751,2,3
63,771,2,3
11,419,2,3
86,713,2,3
69,669,2,3
29,749,2,3
79,287,2,3
82,153,2,3
34,459,2,3
83,652,2,3
91,946,2,3
64,451,2,3
57,529,2,3
76,262,2,3
72,270,2,3
79,393,2,3
26,335,2,3
76,617,2,3
52,828,2,3
72,580,2,3
33,654,2,3
87,863,2,3
36,509,2,3
67,134,2,3
100,551,2,3
68,693,2,3
11,424,2,3
55,685,2,3
19,414,2,3
48,379,2,3
67,369,2,3
56,204,2,3
35,963,2,3
13,596,2,3
11,762,2,3
47,232,2,3
22,563,2,3
64,525,2,3
99,266,2,3
100,448,2,3
37,292,2,3
85,225,2,3
60,983,2,3
53,695,2,3
86,292,2,3
80,757,2,3
68,783,2,3
96,712,2,3
38,193,2,3
71,386,2,3
78,229,2,3
46,646,2,3
45,154,2,3
67,278,2,3
79,901,2,3
55,691,2,3
71,727,2,3
25,766,2,3
27,849,2,3
12,554,2,3
83,967,2,3
93,342,2,3
56,705,2,3
43,668,2,3
67,953,2,3
24,729,2,3
91,930,2,3
93,791,2,3
52,115,2,3
12,797,2,3
37,917,2,3
46,4600,2,4
51,7790,2,4
40,2932,2,4
98,7480,2,4
71,2502,2,4
18,1225,2,4
69,4406,2,4
26,4495,2,4
38,1206,2,4
89,1920,2,4
92,2643,2,4
21,3183,2,4
51,6978,2,4
32,8364,2,4
38,1593,2,4
30,8096,2,4
47,4209,2,4
41,9449,2,4
77,7743,2,4
96,4320,2,4
98,4429,2,4
97,6058,2,4
60,1160,2,4
98,7603,2,4
78,7682,2,4
62,6740,2,4
17,6396,2,4
81,6552,2,4
54,3888,2,4
28,7873,2,4
72,8286,2,4
45,2725,2,4
74,6257,2,4
96,3802,2,4
53,1866,2,4
13,1775,2,4
65,2973,2,4
83,5739,2,4
43,9294,2,4
51,4254,2,4
73,7788,2,4
91,8695,2,4
70,4213,2,4
48,3715,2,4
44,3152,2,4
73,1521,2,4
79,4020,2,4
100,2401,2,4
68,3934,2,4
33,8956,2,4
10,3570,2,4
42,4294,2,4
79,8430,2,4
89,2146,2,4
71,3170,2,4
49,4641,2,4
76,8713,2,4
63,4381,2,4
97,6784,2,4
65,3225,2,4
58,9723,2,4
29,2807,2,4
86,7397,2,4
63,7130,2,4
27,5443,2,4
28,6344,2,4
100,2508,2,4
29,4161,2,4
40,7961,2,4
57,3864,2,4
64,6460,2,4
14,6333,2,4
31,3040,2,4
21,8473,2,4
82,9356,2,4
31,9400,2,4
48,8406,2,4
91,7526,2,4
83,4143,2,4
87,4769,2,4
73,1441,2,4
13,2758,2,4
41,3517,2,4
56,9688,2,4
76,5996,2,4
37,3830,2,4
63,8019,2,4
45,2169,2,4
77,7198,2,4
50,5753,2,4
77,7088,2,4
58,2753,2,4
58,9496,2,4
79,9314,2,4
63,1661,2,4
35,1187,2,4
100,8874,2,4
16,9312,2,4
19,1948,2,4
88,3495,2,4
31,50662,2,5
54,92045,2,5
15,56797,2,5
15,72846,2,5
16,33188,2,5
23,98993,2,5
12,90001,2,5
37,11407,2,5
77,29481,2,5
58,97673,2,5
65,85797,2,5
67,91492,2,5
85,53981,2,5
51,71095,2,5
53,65795,2,5
47,23788,2,5
32,69007,2,5
94,48225,2,5
81,88646,2,5
83,12212,2,5
13,55110,2,5
22,43365,2,5
41,47868,2,5
93,72981,2,5
14,74351,2,5
22,60903,2,5
17,39392,2,5
47,79308,2,5
31,46035,2,5
81,90167,2,5
17,99927,2,5
32,85063,2,5
94,21102,2,5
57,31911,2,5
33,16310,2,5
62,73073,2,5
47,36920,2,5
75,60895,2,5
52,23671,2,5
71,91247,2,5
95,87093,2,5
42,91510,2,5
81,85837,2,5
83,12871,2,5
84,57304,2,5
59,18828,2,5
91,11878,2,5
22,75153,2,5
41,41065,2,5
73,87150,2,5
11,93498,2,5
94,49779,2,5
17,59254,2,5
12,41452,2,5
52,38868,2,5
37,68496,2,5
57,41892,2,5
32,82139,2,5
100,79362,2,5
92,26111,2,5
85,83328,2,5
78,21579,2,5
64,22611,2,5
65,96503,2,5
39,10100,2,5
31,55796,2,5
72,40420,2,5
69,19152,2,5
54,80617,2,5
58,71595,2,5
33,52191,2,5
96,12386,2,5
34,12773,2,5
13,39186,2,5
15,51192,2,5
24,88675,2,5
85,40162,2,5
84,26416,2,5
57,36051,2,5
71,65083,2,5
54,53540,2,5
63,75691,2,5
41,58014,2,5
43,99715,2,5
59,98929,2,5
68,47862,2,5
30,36808,2,5
83,87239,2,5
74,34216,2,5
53,66873,2,5
91,19383,2,5
11,54342,2,5
86,57918,2,5
54,21717,2,5
67,62419,2,5
72,32328,2,5
82,16847,2,5
43,19270,2,5
43,39973,2,5
79,90131,2,5
59,713615,2,6
76,787346,2,6
67,238466,2,6
69,481866,2,6
27,394687,2,6
24,111954,2,6
91,162331,2,6
90,907485,2,6
97,956526,2,6
75,599371,2,6
89,413577,2,6
48,750939,2,6
41,915306,2,6
68,907451,2,6
80,919435,2,6
48,476174,2,6
24,818499,2,6
29,659313,2,6
28,577922,2,6
55,741640,2,6
10,972773,2,6
36,585692,2,6
57,238849,2,6
25,792655,2,6
51,989958,2,6
87,973542,2,6
13,954880,2,6
61,971760,2,6
72,640837,2,6
95,688329,2,6
59,644492,2,6
73,570583,2,6
97,914522,2,6
35,274258,2,6
21,349582,2,6
99,590074,2,6
81,909121,2,6
77,406890,2,6
44,461899,2,6
61,686679,2,6
40,841437,2,6
38,335962,2,6
54,468307,2,6
33,638381,2,6
63,393610,2,6
92,889734,2,6
53,987768,2,6
36,846762,2,6
86,972780,2,6
31,325230,2,6
30,430026,2,6
61,959589,2,6
59,117981,2,6
43,856763,2,6
20,151609,2,6
44,887852,2,6
75,595524,2,6
48,134184,2,6
56,207440,2,6
15,925290,2,6
23,525585,2,6
15,949966,2,6
85,622708,2,6
11,532737,2,6
